date,high,low
2019-01-02,315.130005,298.799988
2019-01-03,309.399994,297.380005
2019-01-04,318.0,302.730011
2019-01-07,336.73999,317.75
2019-01-08,344.01001,327.019989
2019-01-09,343.5,331.470001
2019-01-10,345.390015,331.790009
2019-01-11,348.410004,338.769989
2019-01-14,342.5,334.0
2019-01-15,348.799988,334.5
2019-01-16,352.0,343.5
2019-01-17,351.5,344.149994
2019-01-18,327.130005,299.730011
2019-01-22,308.0,295.5
2019-01-23,294.5,281.690002
2019-01-24,293.679993,279.279999
2019-01-25,298.519989,289.549988
2019-01-28,297.459991,287.75
2019-01-29,298.559998,291.799988
2019-01-30,309.0,298.48999
2019-01-31,311.559998,294.0
2019-02-01,316.100006,303.5
2019-02-04,315.299988,301.880005
2019-02-05,322.440002,312.25
2019-02-06,324.23999,315.619995
2019-02-07,314.700012,303.0
2019-02-08,307.450012,298.5
2019-02-11,318.600006,310.5
2019-02-12,318.190002,309.619995
2019-02-13,312.75,305.570007
2019-02-14,306.769989,301.0
2019-02-15,308.0,303.899994
2019-02-19,311.540009,305.470001
2019-02-20,306.299988,299.0
2019-02-21,303.23999,290.5
2019-02-22,296.5,292.100006
2019-02-25,302.899994,297.0
2019-02-26,302.01001,288.769989
2019-02-27,316.299988,300.549988
2019-02-28,320.0,310.809998
2019-03-01,307.130005,291.899994
2019-03-04,299.0,282.779999
2019-03-05,284.0,270.100006
2019-03-06,281.51001,274.390015
2019-03-07,284.700012,274.25
2019-03-08,285.589996,275.890015
2019-03-11,291.279999,280.5
2019-03-12,288.070007,281.059998
2019-03-13,291.98999,282.700012
2019-03-14,295.390015,288.290009
2019-03-15,283.720001,274.399994
2019-03-18,278.049988,267.299988
2019-03-19,273.299988,263.459991
2019-03-20,274.970001,266.299988
2019-03-21,276.450012,268.450012
2019-03-22,272.799988,264.0
2019-03-25,263.179993,254.460007
2019-03-26,270.26001,264.429993
2019-03-27,275.369995,268.179993
2019-03-28,280.329987,275.100006
2019-03-29,280.160004,274.5
2019-04-01,289.200012,281.279999
2019-04-02,289.440002,283.880005
2019-04-03,296.170013,287.170013
2019-04-04,271.200012,260.589996
2019-04-05,276.100006,266.109985
2019-04-08,281.160004,270.440002
2019-04-09,275.0,269.609985
2019-04-10,278.380005,272.890015
2019-04-11,270.5,265.600006
2019-04-12,271.950012,266.829987
2019-04-15,268.880005,258.630005
2019-04-16,275.0,264.720001
2019-04-17,274.790009,268.540009
2019-04-18,274.839996,269.75
2019-04-22,269.679993,262.480011
2019-04-23,265.600006,255.75
2019-04-24,265.320007,258.0
2019-04-25,259.0,246.070007
2019-04-26,246.679993,231.130005
2019-04-29,243.979996,232.169998
2019-04-30,244.210007,237.0
2019-05-01,240.0,231.5
2019-05-02,247.130005,237.720001
2019-05-03,256.609985,243.490005
2019-05-06,258.350006,248.5
2019-05-07,257.209991,245.100006
2019-05-08,250.600006,244.199997
2019-05-09,243.679993,236.940002
2019-05-10,241.990005,236.020004
2019-05-13,232.470001,224.5
2019-05-14,234.5,228.0
2019-05-15,232.440002,225.25
2019-05-16,231.0,226.5
2019-05-17,222.240005,208.919998
2019-05-20,206.0,195.25
2019-05-21,207.399994,196.039993
2019-05-22,203.940002,191.779999
2019-05-23,199.470001,186.220001
2019-05-24,199.979996,188.75
2019-05-28,195.0,187.850006
2019-05-29,192.389999,185.039993
2019-05-30,192.259995,187.020004
2019-05-31,189.919998,184.100006
2019-06-03,186.679993,176.990005
2019-06-04,193.979996,179.610001
2019-06-05,201.279999,191.850006
2019-06-06,211.0,201.800003
2019-06-07,210.839996,203.5
2019-06-10,216.940002,209.009995
2019-06-11,220.899994,213.5
2019-06-12,223.380005,209.0
2019-06-13,214.899994,207.509995
2019-06-14,216.649994,210.399994
2019-06-17,227.0,214.270004
2019-06-18,234.740005,222.559998
2019-06-19,227.770004,221.059998
2019-06-20,226.899994,216.350006
2019-06-21,222.179993,215.5
2019-06-24,225.860001,221.020004
2019-06-25,225.339996,219.490005
2019-06-26,227.229996,218.100006
2019-06-27,222.899994,217.350006
2019-06-28,225.169998,220.800003
2019-07-01,233.100006,226.279999
2019-07-02,229.149994,222.220001
2019-07-03,241.570007,234.509995
2019-07-05,235.449997,230.800003
2019-07-08,232.25,228.660004
2019-07-09,231.0,227.279999
2019-07-10,238.940002,233.139999
2019-07-11,241.5,235.800003
2019-07-12,245.380005,239.710007
2019-07-15,254.419998,244.860001
2019-07-16,253.529999,247.929993
2019-07-17,258.309998,253.350006
2019-07-18,255.75,251.889999
2019-07-19,259.959991,254.619995
2019-07-22,262.149994,254.190002
2019-07-23,260.480011,254.5
2019-07-24,266.070007,258.160004
2019-07-25,234.5,225.550003
2019-07-26,230.259995,222.25
2019-07-29,235.940002,226.029999
2019-07-30,243.360001,232.179993
2019-07-31,246.679993,236.649994
2019-08-01,244.509995,231.770004
2019-08-02,236.270004,229.229996
2019-08-05,231.369995,225.779999
2019-08-06,232.5,225.75
2019-08-07,233.570007,225.800003
2019-08-08,239.800003,232.649994
2019-08-09,238.960007,233.809998
2019-08-12,235.770004,228.75
2019-08-13,236.0,227.550003
2019-08-14,231.5,216.690002
2019-08-15,221.559998,211.550003
2019-08-16,222.240005,216.020004
2019-08-19,227.830002,221.699997
2019-08-20,229.089996,224.539993
2019-08-21,223.220001,217.600006
2019-08-22,225.399994,218.220001
2019-08-23,221.169998,211.0
2019-08-26,215.020004,211.539993
2019-08-27,218.800003,212.029999
2019-08-28,217.25,212.309998
2019-08-29,223.399994,218.0
2019-08-30,232.440002,224.210007
2019-09-03,228.949997,223.160004
2019-09-04,228.460007,219.210007
2019-09-05,229.800003,220.850006
2019-09-06,229.639999,225.169998
2019-09-09,233.759995,229.229996
2019-09-10,235.539993,228.940002
2019-09-11,248.169998,236.0
2019-09-12,253.5,244.399994
2019-09-13,248.449997,244.869995
2019-09-16,247.429993,241.169998
2019-09-17,245.600006,240.369995
2019-09-18,248.169998,242.369995
2019-09-19,247.940002,244.839996
2019-09-20,246.949997,238.160004
2019-09-23,245.179993,239.220001
2019-09-24,241.990005,222.610001
2019-09-25,228.979996,218.360001
2019-09-26,243.309998,227.399994
2019-09-27,248.710007,238.729996
2019-09-30,243.979996,236.110001
2019-10-01,245.949997,239.130005
2019-10-02,244.649994,239.429993
2019-10-03,234.479996,224.279999
2019-10-04,234.779999,228.070007
2019-10-07,238.559998,228.550003
2019-10-08,243.940002,234.5
2019-10-09,247.300003,240.649994
2019-10-10,249.279999,241.580002
2019-10-11,251.080002,246.809998
2019-10-14,258.549988,247.130005
2019-10-15,260.0,254.119995
2019-10-16,262.100006,256.920013
2019-10-17,264.779999,260.170013
2019-10-18,262.799988,255.100006
2019-10-21,259.5,250.179993
2019-10-22,258.329987,250.850006
2019-10-23,256.140015,251.350006
2019-10-24,304.929993,289.200012
2019-10-25,330.0,296.109985
2019-10-28,340.839996,322.600006
2019-10-29,324.299988,314.75
2019-10-30,318.790009,309.970001
2019-10-31,319.0,313.0
2019-11-01,316.480011,309.799988
2019-11-04,321.940002,309.26001
2019-11-05,323.51001,316.119995
2019-11-06,326.720001,314.5
2019-11-07,341.5,328.019989
2019-11-08,337.459991,332.5
2019-11-11,349.190002,342.0
2019-11-12,350.369995,344.040009
2019-11-13,356.329987,345.179993
2019-11-14,353.839996,342.910004
2019-11-15,352.799988,348.359985
2019-11-18,353.149994,346.100006
2019-11-19,359.98999,347.799988
2019-11-20,361.200012,349.570007
2019-11-21,360.839996,354.0
2019-11-22,341.0,330.0
2019-11-25,344.570007,334.459991
2019-11-26,335.5,327.100006
2019-11-27,333.929993,328.570007
2019-11-29,331.26001,327.5
2019-12-02,336.380005,328.690002
2019-12-03,337.910004,332.190002
2019-12-04,337.859985,332.850006
2019-12-05,334.420013,327.25
2019-12-06,338.859985,334.769989
2019-12-09,344.450012,335.079987
2019-12-10,350.730011,339.309998
2019-12-11,357.190002,351.089996
2019-12-12,362.73999,353.230011
2019-12-13,365.209991,354.640015
2019-12-16,383.609985,362.5
2019-12-17,385.5,375.899994
2019-12-18,395.220001,380.579987
2019-12-19,406.850006,396.5
2019-12-20,413.0,400.190002
2019-12-23,422.01001,410.0
2019-12-24,425.470001,412.690002
2019-12-26,433.480011,426.350006
2019-12-27,435.309998,426.109985
2019-12-30,429.0,409.26001
2019-12-31,421.290009,402.079987
2020-01-02,430.700012,421.709991
2020-01-03,454.0,436.920013
2020-01-06,451.559998,440.0
2020-01-07,471.630005,453.359985
2020-01-08,498.48999,468.230011
2020-01-09,498.799988,472.869995
2020-01-10,484.940002,473.700012
2020-01-13,525.630005,492.0
2020-01-14,547.409973,524.900024
2020-01-15,537.840027,516.789978
2020-01-16,514.460022,492.170013
2020-01-17,515.669983,503.160004
2020-01-21,548.580017,528.409973
2020-01-22,594.5,559.099976
2020-01-23,582.0,555.599976
2020-01-24,573.859985,554.26001
2020-01-27,564.440002,539.280029
2020-01-28,576.809998,558.080017
2020-01-29,589.799988,567.429993
2020-01-30,650.880005,618.0
2020-01-31,653.0,632.52002
2020-02-03,786.140015,673.52002
2020-02-04,968.98999,833.880005
2020-02-05,845.97998,704.109985
2020-02-06,795.830017,687.0
2020-02-07,769.75,730.0
2020-02-10,819.98999,752.400024
2020-02-11,783.51001,758.0
2020-02-12,789.75,763.369995
2020-02-13,818.0,735.0
2020-02-14,812.969971,785.5
2020-02-18,860.0,832.359985
2020-02-19,944.780029,901.02002
2020-02-20,912.0,859.940002
2020-02-21,913.059998,880.450012
2020-02-24,863.5,822.200012
2020-02-25,856.599976,787.0
2020-02-26,813.309998,776.109985
2020-02-27,739.77002,669.0
2020-02-28,690.52002,611.52002
2020-03-02,743.690002,686.669983
2020-03-03,806.97998,716.109985
2020-03-04,766.52002,724.72998
2020-03-05,745.75,718.070007
2020-03-06,707.0,684.27002
2020-03-09,663.0,605.0
2020-03-10,668.0,608.0
2020-03-11,653.580017,613.0
2020-03-12,594.5,546.25
2020-03-13,607.570007,502.0
2020-03-16,494.869995,442.170013
2020-03-17,471.850006,396.0
2020-03-18,404.859985,350.51001
2020-03-19,452.0,358.459991
2020-03-20,477.0,425.790009
2020-03-23,442.0,410.5
2020-03-24,513.690002,474.0
2020-03-25,557.0,511.109985
2020-03-26,560.0,512.25
2020-03-27,525.799988,494.029999
2020-03-30,516.650024,491.230011
2020-03-31,542.960022,497.0
2020-04-01,513.950012,475.100006
2020-04-02,494.26001,446.399994
2020-04-03,515.48999,468.390015
2020-04-06,521.0,497.959991
2020-04-07,565.0,532.340027
2020-04-08,557.210022,533.330017
2020-04-09,575.179993,557.109985
2020-04-13,652.0,580.530029
2020-04-14,741.880005,692.429993
2020-04-15,753.130005,710.0
2020-04-16,759.450012,706.719971
2020-04-17,774.950012,747.659973
2020-04-20,765.570007,712.210022
2020-04-21,753.330017,673.789978
2020-04-22,734.0,688.710022
2020-04-23,734.0,703.130005
2020-04-24,730.72998,698.179993
2020-04-27,799.48999,735.0
2020-04-28,805.0,756.690002
2020-04-29,803.200012,783.159973
2020-04-30,869.820007,763.5
2020-05-01,772.77002,683.039978
2020-05-04,762.0,698.0
2020-05-05,798.919983,762.179993
2020-05-06,789.799988,761.109985
2020-05-07,796.400024,772.349976
2020-05-08,824.0,787.01001
2020-05-11,824.0,785.0
2020-05-12,843.289978,808.0
2020-05-13,826.0,763.299988
2020-05-14,803.359985,764.0
2020-05-15,805.049988,786.549988
2020-05-18,834.719971,803.880005
2020-05-19,822.070007,806.080017
2020-05-20,826.0,811.799988
2020-05-21,832.5,796.0
2020-05-22,831.780029,812.0
2020-05-26,834.599976,815.710022
2020-05-27,827.710022,785.0
2020-05-28,824.75,801.690002
2020-05-29,835.0,804.210022
2020-06-01,899.0,854.099976
2020-06-02,908.659973,871.0
2020-06-03,897.940002,880.099976
2020-06-04,895.75,858.440002
2020-06-05,886.52002,866.200012
2020-06-08,950.0,909.159973
2020-06-09,954.440002,923.929993
2020-06-10,1027.47998,982.5
2020-06-11,1018.960022,972.0
2020-06-12,987.97998,912.599976
2020-06-15,998.840027,908.5
2020-06-16,1012.880005,962.390015
2020-06-17,1005.0,982.570007
2020-06-18,1019.200012,994.469971
2020-06-19,1015.969971,991.340027
2020-06-22,1008.880005,990.02002
2020-06-23,1012.0,994.01001
2020-06-24,1000.880005,953.140015
2020-06-25,985.97998,937.150024
2020-06-26,995.0,954.869995
2020-06-29,1010.0,948.52002
2020-06-30,1087.689941,1003.72998
2020-07-01,1135.329956,1080.5
2020-07-02,1228.0,1185.599976
2020-07-06,1377.790039,1266.040039
2020-07-07,1429.5,1336.709961
2020-07-08,1417.26001,1311.339966
2020-07-09,1408.560059,1351.280029
2020-07-10,1548.920044,1376.01001
2020-07-13,1794.98999,1471.109985
2020-07-14,1590.0,1431.0
2020-07-15,1550.0,1457.0
2020-07-16,1531.709961,1466.0
2020-07-17,1537.51001,1490.0
2020-07-20,1650.0,1488.0
2020-07-21,1675.0,1558.0
2020-07-22,1626.420044,1562.0
